hgnc_symbol,gene_biotype,mean.CPM,min.CPM,max.CPM,express.in.libs
OR1N2,protein_coding,0.025133275892627524,0,0.19811476250508456,3
OR1Q1,protein_coding,0.04893831970462855,0,0.5158380607209241,4
OR1S1,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR1S2,protein_coding,0.02237896718338047,0,0.18320232904241543,3
OR2A12,protein_coding,0.016167273179920366,0,0.19811476250508456,2
OR2A14,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR2A2,protein_coding,0,0,0,0
OR2A25,protein_coding,0.025046140218664553,0,0.5009228043732911,1
OR2A4,protein_coding,0.08270466278548537,0,0.6190056728651089,8
OR2A5,protein_coding,0.007531024703935988,0,0.15062049407871977,1
OR2A7,protein_coding,0.05757805822656089,0,0.5379601627624294,4
OR2AE1,protein_coding,0.07750403716175583,0,0.34106573755766734,8
OR2AG1,protein_coding,0,0,0,0
OR2AG2,protein_coding,0.009905738125254228,0,0.19811476250508456,1
OR2AJ1,protein_coding,0.007168132397538619,0,0.1433626479507724,1
OR2AK2,protein_coding,0.08777455181687227,0,0.5195305608440639,7
OR2AP1,protein_coding,0,0,0,0
OR2AT4,protein_coding,0.04224028448509496,0,0.5943442875152537,2
OR2B2,protein_coding,0.061875363557743444,0,0.7172802170165725,4
OR2B3,protein_coding,0.00418918231400854,0,0.0837836462801708,1
OR2B6,protein_coding,0.07149594403619405,0,0.5943442875152537,7
OR2C1,protein_coding,0.018602976441443264,0,0.12993290197376967,3
OR2C3,protein_coding,0.05055350604426353,0,0.35068777728531864,5
OR2D2,protein_coding,0,0,0,0
OR2D3,protein_coding,0.008060470124050458,0,0.16120940248100915,1
OR2F1,protein_coding,0.0042746758306209595,0,0.08549351661241919,1
OR2F2,protein_coding,0,0,0,0
OR2G2,protein_coding,0,0,0,0
OR2G3,protein_coding,0.023360238377149976,0,0.34197406644967676,2
OR2G6,protein_coding,0.029717214375762684,0,0.5943442875152537,1
OR2H1,protein_coding,0.019307447178233413,0,0.1637115540276803,3
OR2H2,protein_coding,0.05101341717828542,0,0.2637637910067524,6
OR2J1,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR2J2,protein_coding,0.02355274212578174,0,0.3807013313237012,2
OR2J3,protein_coding,0.014788178493607822,0,0.17053286877883367,2
OR2K2,protein_coding,0,0,0,0
OR2L2,protein_coding,0.0086588426807344,0,0.173176853614688,1
OR2L3,protein_coding,0.013829619059989839,0,0.2765923811997968,1
OR2L5,protein_coding,0.038236185174223405,0,0.4744114805794513,3
OR2L8,protein_coding,0.06668142901942983,0,0.5943442875152537,4
OR2M2,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR2M3,protein_coding,0.012350513567326296,0,0.18439492079986453,2
OR2M4,protein_coding,0.024485154278742143,0,0.20633522428836962,3
OR2M5,protein_coding,0.011657410966274753,0,0.17053286877883367,2
OR2M7,protein_coding,0.013240678543328116,0,0.17932005425414313,2
OR2S2,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR2T1,protein_coding,0.03974253386148355,0,0.4518614822361593,3
OR2T10,protein_coding,0.012523070109332277,0,0.25046140218664553,1
OR2T11,protein_coding,0.013240678543328116,0,0.17932005425414313,2
OR2T12,protein_coding,0,0,0,0
OR2T2,protein_coding,0,0,0,0
OR2T27,protein_coding,0,0,0,0
OR2T29,protein_coding,0.0020663065680398256,0,0.04132613136079651,1
OR2T3,protein_coding,0.0387496441420563,0,0.2654737817568133,5
OR2T33,protein_coding,0.008526643438941684,0,0.17053286877883367,1
OR2T34,protein_coding,0.01305541325710849,0,0.13273689087840665,3
OR2T35,protein_coding,0.018784605163998415,0,0.37569210327996827,1
OR2T4,protein_coding,0.008592098419548128,0,0.17184196839096255,1
OR2T5,protein_coding,0.004132613136079651,0,0.08265226272159303,1
OR2T6,protein_coding,0,0,0,0
OR2T7,protein_coding,0,0,0,0
OR2T8,protein_coding,0.036505981656941924,0,0.36640465808483086,3
OR2V1,protein_coding,0,0,0,0
OR2V2,protein_coding,0.0042746758306209595,0,0.08549351661241919,1
OR2W1,protein_coding,0,0,0,0
OR2W3,protein_coding,0.19394079333922606,0,1.6245612047494087,10
OR2Y1,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR2Z1,protein_coding,0.03379211857336192,0,0.19811476250508456,4
OR3A1,protein_coding,0.03096256218931873,0,0.36878984159972905,2
OR3A2,protein_coding,0.01893187819871321,0,0.16120940248100915,3
OR3A3,protein_coding,0.07370004509405226,0,0.6325486407726018,4
OR4A15,protein_coding,0.006496645098688483,0,0.12993290197376967,1
OR4A16,protein_coding,0.04739087113305126,0,0.5129610996745151,3
OR4A47,protein_coding,0.050422253154301586,0,0.25986580394753933,5
OR4A5,protein_coding,0.0368518407532215,0,0.5009228043732911,3
OR4B1,protein_coding,0.016415573554553562,0,0.15062049407871977,3
OR4C11,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR4C12,protein_coding,0,0,0,0
OR4C13,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR4C15,protein_coding,0,0,0,0
OR4C16,protein_coding,0,0,0,0
OR4C3,protein_coding,0,0,0,0
OR4C46,protein_coding,0.008629023849080774,0,0.1725804769816155,1
OR4C5,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR4C6,protein_coding,0.006496645098688483,0,0.12993290197376967,1
OR4D1,protein_coding,0,0,0,0
OR4D10,protein_coding,0,0,0,0
OR4D11,protein_coding,0.015227537767373294,0,0.17932005425414313,2
OR4D2,protein_coding,0,0,0,0
OR4D5,protein_coding,0,0,0,0
OR4D6,protein_coding,0.010536210885287098,0,0.12523070109332277,2
OR4D9,protein_coding,0,0,0,0
OR4E2,protein_coding,0,0,0,0
OR4F15,protein_coding,0.02597051678392244,0,0.36878984159972905,2
OR4F16,protein_coding,0.07858716000177483,0,0.3962295250101691,8
OR4F17,protein_coding,0.06196290254567647,0,0.5158380607209241,5
OR4F21,protein_coding,0.01832023290424154,0,0.36640465808483086,1
OR4F29,protein_coding,0.07858716000177483,0,0.3962295250101691,8
OR4F3,protein_coding,0,0,0,0
OR4F4,protein_coding,0,0,0,0
OR4F5,protein_coding,0,0,0,0
OR4F6,protein_coding,0,0,0,0
OR4K1,protein_coding,0,0,0,0
OR4K13,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR4K14,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR4K15,protein_coding,0.024852664631158414,0,0.20307015059367609,3
OR4K17,protein_coding,0.006261535054666138,0,0.12523070109332277,1
OR4K2,protein_coding,0,0,0,0
OR4K5,protein_coding,0,0,0,0
OR4L1,protein_coding,0.004609873019996613,0,0.09219746039993226,1
OR4M1,protein_coding,0.014403503108346006,0,0.15813716019315044,2
OR4M2,protein_coding,0.018439492079986453,0,0.36878984159972905,1
OR4N2,protein_coding,0,0,0,0
OR4N4,protein_coding,6.261535054666138e-5,0,0.0012523070109332277,1
